Settlement Date,Product,Contract,Settlement
1/2/2013,CL,CLG13,93.12
1/2/2013,CL,CLH13,93.55
1/2/2013,CL,CLJ13,93.97
1/2/2013,CL,CLK13,94.33
1/2/2013,CL,CLM13,94.6
1/2/2013,CL,CLN13,94.76
1/2/2013,CL,CLQ13,94.78
1/2/2013,CL,CLU13,94.69
1/2/2013,CL,CLV13,94.51
1/2/2013,CL,CLX13,94.33
1/2/2013,CL,CLZ13,94.17
1/2/2013,CL,CLF14,93.94
1/2/2013,CL,CLG14,93.72
1/2/2013,CL,CLH14,93.52
1/2/2013,CL,CLJ14,93.33
1/2/2013,CL,CLK14,93.17
1/2/2013,CL,CLM14,93
1/2/2013,CL,CLN14,92.75
1/2/2013,CL,CLQ14,92.52
1/2/2013,CL,CLU14,92.33
1/2/2013,CL,CLV14,92.15
1/2/2013,CL,CLX14,92.02
1/2/2013,CL,CLZ14,91.91
1/2/2013,CL,CLF15,91.62
1/2/2013,CL,CLG15,91.35
1/2/2013,CL,CLH15,91.09
1/2/2013,CL,CLJ15,90.85
1/2/2013,CL,CLK15,90.63
1/2/2013,CL,CLM15,90.44
1/2/2013,CL,CLN15,90.21
1/2/2013,CL,CLQ15,90.01
1/2/2013,CL,CLU15,89.83
1/2/2013,CL,CLV15,89.67
1/2/2013,CL,CLX15,89.52
1/2/2013,CL,CLZ15,89.38
1/2/2013,CL,CLF16,89.17
1/2/2013,CL,CLG16,88.97
1/2/2013,CL,CLH16,88.77
1/2/2013,CL,CLJ16,88.57
1/2/2013,CL,CLK16,88.38
1/2/2013,CL,CLM16,88.19
1/2/2013,CL,CLN16,88.01
1/2/2013,CL,CLQ16,87.84
1/2/2013,CL,CLU16,87.68
1/2/2013,CL,CLV16,87.52
1/2/2013,CL,CLX16,87.37
1/2/2013,CL,CLZ16,87.22
1/2/2013,CL,CLF17,87.08
1/2/2013,CL,CLG17,86.95
1/2/2013,CL,CLH17,86.83
1/2/2013,CL,CLJ17,86.71
1/2/2013,CL,CLK17,86.59
1/2/2013,CL,CLM17,86.48
1/2/2013,CL,CLN17,86.37
1/2/2013,CL,CLQ17,86.26
1/2/2013,CL,CLU17,86.16
1/2/2013,CL,CLV17,86.06
1/2/2013,CL,CLX17,85.97
1/2/2013,CL,CLZ17,85.89
1/2/2013,CL,CLF18,85.81
1/2/2013,CL,CLG18,85.73
1/2/2013,CL,CLH18,85.65
1/2/2013,CL,CLJ18,85.57
1/2/2013,CL,CLK18,85.5
1/2/2013,CL,CLM18,85.43
1/2/2013,CL,CLN18,85.36
1/2/2013,CL,CLQ18,85.29
1/2/2013,CL,CLU18,85.22
1/2/2013,CL,CLV18,85.15
1/2/2013,CL,CLX18,85.08
1/2/2013,CL,CLZ18,85.01
1/2/2013,CL,CLM19,84.94
1/2/2013,CL,CLZ19,84.86
1/2/2013,CL,CLM20,84.81
1/2/2013,CL,CLZ20,84.76
1/2/2013,CL,CLM21,84.76
1/2/2013,CL,CLZ21,84.76
1/3/2013,CL,CLG13,92.92
1/3/2013,CL,CLH13,93.34
1/3/2013,CL,CLJ13,93.76
1/3/2013,CL,CLK13,94.12
1/3/2013,CL,CLM13,94.39
1/3/2013,CL,CLN13,94.55
1/3/2013,CL,CLQ13,94.56
1/3/2013,CL,CLU13,94.46
1/3/2013,CL,CLV13,94.27
1/3/2013,CL,CLX13,94.07
1/3/2013,CL,CLZ13,93.9
1/3/2013,CL,CLF14,93.65
1/3/2013,CL,CLG14,93.41
1/3/2013,CL,CLH14,93.18
1/3/2013,CL,CLJ14,92.97
1/3/2013,CL,CLK14,92.79
1/3/2013,CL,CLM14,92.6
1/3/2013,CL,CLN14,92.33
1/3/2013,CL,CLQ14,92.09
1/3/2013,CL,CLU14,91.89
1/3/2013,CL,CLV14,91.7
1/3/2013,CL,CLX14,91.56
1/3/2013,CL,CLZ14,91.43
1/3/2013,CL,CLF15,91.13
1/3/2013,CL,CLG15,90.85
1/3/2013,CL,CLH15,90.59
1/3/2013,CL,CLJ15,90.34
1/3/2013,CL,CLK15,90.11
1/3/2013,CL,CLM15,89.9
1/3/2013,CL,CLN15,89.66
1/3/2013,CL,CLQ15,89.45
1/3/2013,CL,CLU15,89.27
1/3/2013,CL,CLV15,89.1
1/3/2013,CL,CLX15,88.94
1/3/2013,CL,CLZ15,88.79
1/3/2013,CL,CLF16,88.57
1/3/2013,CL,CLG16,88.35
1/3/2013,CL,CLH16,88.14
1/3/2013,CL,CLJ16,87.93
1/3/2013,CL,CLK16,87.72
1/3/2013,CL,CLM16,87.52
1/3/2013,CL,CLN16,87.33
1/3/2013,CL,CLQ16,87.15
1/3/2013,CL,CLU16,86.97
1/3/2013,CL,CLV16,86.8
1/3/2013,CL,CLX16,86.63
1/3/2013,CL,CLZ16,86.47
1/3/2013,CL,CLF17,86.32
1/3/2013,CL,CLG17,86.18
1/3/2013,CL,CLH17,86.04
1/3/2013,CL,CLJ17,85.91
1/3/2013,CL,CLK17,85.78
1/3/2013,CL,CLM17,85.66
1/3/2013,CL,CLN17,85.54
1/3/2013,CL,CLQ17,85.42
1/3/2013,CL,CLU17,85.31
1/3/2013,CL,CLV17,85.2
1/3/2013,CL,CLX17,85.1
1/3/2013,CL,CLZ17,85
1/3/2013,CL,CLF18,84.91
1/3/2013,CL,CLG18,84.82
1/3/2013,CL,CLH18,84.74
1/3/2013,CL,CLJ18,84.66
1/3/2013,CL,CLK18,84.58
1/3/2013,CL,CLM18,84.5
1/3/2013,CL,CLN18,84.43
1/3/2013,CL,CLQ18,84.36
1/3/2013,CL,CLU18,84.29
1/3/2013,CL,CLV18,84.21
1/3/2013,CL,CLX18,84.13
1/3/2013,CL,CLZ18,84.06
1/3/2013,CL,CLM19,83.94
1/3/2013,CL,CLZ19,83.81
1/3/2013,CL,CLM20,83.76
1/3/2013,CL,CLZ20,83.71
1/3/2013,CL,CLM21,83.71
1/3/2013,CL,CLZ21,83.71
1/4/2013,CL,CLG13,93.09
1/4/2013,CL,CLH13,93.51
1/4/2013,CL,CLJ13,93.91
1/4/2013,CL,CLK13,94.21
1/4/2013,CL,CLM13,94.4
1/4/2013,CL,CLN13,94.51
1/4/2013,CL,CLQ13,94.48
1/4/2013,CL,CLU13,94.36
1/4/2013,CL,CLV13,94.15
1/4/2013,CL,CLX13,93.93
1/4/2013,CL,CLZ13,93.74
1/4/2013,CL,CLF14,93.47
1/4/2013,CL,CLG14,93.21
1/4/2013,CL,CLH14,92.97
1/4/2013,CL,CLJ14,92.74
1/4/2013,CL,CLK14,92.54
1/4/2013,CL,CLM14,92.33
1/4/2013,CL,CLN14,92.05
1/4/2013,CL,CLQ14,91.81
1/4/2013,CL,CLU14,91.61
1/4/2013,CL,CLV14,91.42
1/4/2013,CL,CLX14,91.27
1/4/2013,CL,CLZ14,91.14
1/4/2013,CL,CLF15,90.84
1/4/2013,CL,CLG15,90.57
1/4/2013,CL,CLH15,90.31
1/4/2013,CL,CLJ15,90.06
1/4/2013,CL,CLK15,89.84
1/4/2013,CL,CLM15,89.63
1/4/2013,CL,CLN15,89.4
1/4/2013,CL,CLQ15,89.19
1/4/2013,CL,CLU15,89.01
1/4/2013,CL,CLV15,88.85
1/4/2013,CL,CLX15,88.69
1/4/2013,CL,CLZ15,88.54
1/4/2013,CL,CLF16,88.32
1/4/2013,CL,CLG16,88.11
1/4/2013,CL,CLH16,87.91
1/4/2013,CL,CLJ16,87.71
1/4/2013,CL,CLK16,87.51
1/4/2013,CL,CLM16,87.32
1/4/2013,CL,CLN16,87.14
1/4/2013,CL,CLQ16,86.97
1/4/2013,CL,CLU16,86.8
