date,volume.estimate,smoothed.estimate,volume.estimate.stderr,storage.capacity.estimate,total.available.tanks,sampled.tanks,truth_value_mb
1/1/14,337.6139419,,8.618298603,679.8738145,3947,145,
1/2/14,334.7267931,,8.297104816,679.8738145,3947,364,
1/3/14,333.5672919,,7.765424861,679.8738145,3947,397,326.737
1/4/14,334.4470587,,7.776825721,679.8738145,3947,400,
1/5/14,334.2557164,,8.187223626,679.8738145,3947,393,
1/6/14,333.5353468,,8.063686475,679.8738145,3947,432,
1/7/14,333.7741703,,7.63385988,679.8738145,3947,431,
1/8/14,333.9435569,,7.627924635,679.8738145,3947,435,
1/9/14,333.3848266,,7.798143709,679.8738145,3947,436,
1/10/14,333.8827185,,8.086568819,679.8738145,3947,461,319.079
1/11/14,333.5814905,,8.403697244,679.8738145,3947,459,
1/12/14,333.6921459,,8.430679933,679.8738145,3947,463,
1/13/14,333.7969174,,7.827677198,679.8738145,3947,466,
1/14/14,333.2027434,,8.309226971,679.8738145,3947,489,
1/15/14,330.6071168,333.8674557,7.353542964,679.8738145,3947,776,
1/16/14,330.511441,333.3939556,8.135095621,679.8738145,3947,775,
1/17/14,331.3033881,333.1657286,7.488685354,679.8738145,3947,664,320.069
1/18/14,330.0156146,332.9289501,7.67422128,679.8738145,3947,493,
1/19/14,330.5777688,332.6709975,8.123181646,680.4090213,3950,530,
1/20/14,331.0090744,332.4545547,7.982255642,680.4090213,3950,631,
1/21/14,330.5708975,332.2569247,6.84034849,680.4090213,3950,938,
1/22/14,330.5615935,332.0427529,6.86141264,680.4090213,3950,1047,
1/23/14,330.701609,331.8266231,7.301113307,680.4090213,3950,1050,
1/24/14,330.3366706,331.6234127,6.669364053,680.4090213,3950,1030,326.49
1/25/14,330.3489437,331.3878277,6.883844844,680.9754331,3952,1022,
1/26/14,330.0420839,331.1518672,6.662737838,680.9754331,3952,1040,
1/27/14,327.5695335,330.7436931,6.742244083,680.9754331,3952,1066,
1/28/14,328.3145485,330.3782018,6.617817406,680.9754331,3952,1089,
1/29/14,328.3354385,330.0537148,7.305452926,680.9754331,3952,1087,
1/30/14,326.7859806,329.7989724,6.547064186,680.9754331,3952,1138,
1/31/14,325.6614396,329.475639,7.046755563,680.9754331,3952,926,326.93
2/1/14,326.6003292,329.1621017,7.212648376,680.9754331,3952,945,
2/2/14,326.6014256,328.9344891,6.970263702,680.9754331,3952,935,
2/3/14,325.876527,328.621073,6.619119404,680.9754331,3952,899,
2/4/14,325.6091241,328.2610763,6.532439487,680.9754331,3952,837,
2/5/14,325.0653155,327.8940375,6.909260073,680.9754331,3952,730,
2/6/14,325.8836088,327.5821719,7.292977895,680.9754331,3952,385,
2/7/14,325.5385093,327.2379652,7.098314748,680.9754331,3952,246,329.983
2/8/14,324.6104756,326.8562189,6.49625327,680.9754331,3952,256,
2/9/14,324.7789009,326.4848827,6.492814127,680.9754331,3952,273,
2/10/14,323.9760387,326.0804797,6.542751635,680.9754331,3952,284,
2/11/14,325.4387658,325.9384285,6.685361602,680.9754331,3952,400,
2/12/14,326.0147498,325.7851086,7.21642281,680.9754331,3952,385,
2/13/14,325.686269,325.6084973,7.051414565,680.9754331,3952,586,
2/14/14,328.4967006,325.7225453,6.392498777,684.2108301,3964,686,330.956
2/15/14,328.6426545,325.9212929,6.772853404,684.2108301,3964,677,
2/16/14,328.5283745,326.0498293,6.964878203,684.2108301,3964,668,
2/17/14,328.9221089,326.2045415,7.108201797,684.2108301,3964,651,
2/18/14,328.4209703,326.3741711,7.070041646,684.2108301,3964,658,
2/19/14,328.8969927,326.5933623,6.740730226,684.2108301,3964,634,
2/20/14,328.4415567,326.8184451,6.345471763,684.2108301,3964,643,
2/21/14,327.8922062,326.9523516,6.795416448,684.2108301,3964,652,331.024
2/22/14,328.7216716,327.1645624,6.855584725,684.2108301,3964,661,
2/23/14,328.1130845,327.3980696,7.038419183,684.3698405,3965,659,
2/24/14,328.496495,327.6459092,6.902137617,684.3698405,3965,672,
2/25/14,328.5764346,327.9526023,6.914909158,684.3698405,3965,691,
2/26/14,328.203327,328.1369064,7.27836887,684.3698405,3965,691,
2/27/14,327.3999321,328.2292519,6.46450214,684.3698405,3965,556,
2/28/14,326.7855343,328.3025362,6.839389065,684.3698405,3965,656,332.453
3/1/14,327.0826236,328.2082644,6.523958544,684.3698405,3965,435,
3/2/14,326.5733713,328.0703122,6.489339598,684.3698405,3965,399,
3/3/14,326.8310887,327.9571598,7.08547845,684.3698405,3965,403,
3/4/14,327.1947383,327.8420018,7.163768246,684.3698405,3965,403,
3/5/14,326.5498985,327.7172637,6.549071933,684.3698405,3965,401,
3/6/14,327.4404865,327.6201633,6.931418348,684.3698405,3965,394,
3/7/14,327.4317261,327.5528412,7.18553998,684.3698405,3965,486,338.333
3/8/14,327.1490484,327.5032974,7.228923076,684.3698405,3965,485,
3/9/14,327.7267407,327.4369686,6.681496159,684.3698405,3965,541,
3/10/14,327.6938,327.4090163,7.066593336,684.3698405,3965,567,
3/11/14,327.6458145,327.3523043,6.668417916,684.3698405,3965,566,
3/12/14,328.5740511,327.3521454,6.590944969,684.3698405,3965,562,
3/13/14,331.4471586,327.5684008,6.811731583,684.7794648,3966,922,
3/14/14,331.1702123,327.8197529,6.46739354,684.7794648,3966,995,344.183
3/15/14,331.8953019,328.160404,6.67024363,684.7794648,3966,1008,
3/16/14,332.7459419,328.5379586,7.002241725,686.347811,3970,902,
3/17/14,332.9368056,328.9621875,6.608743724,686.347811,3970,915,
3/18/14,333.1721952,329.384928,6.632834963,686.347811,3970,956,
3/19/14,333.1497925,329.7819316,6.843702072,686.347811,3970,957,
3/20/14,332.8111585,330.1993489,6.775675658,686.6285166,3971,963,
3/21/14,333.210133,330.583992,6.656969796,686.6285166,3971,970,350.802
3/22/14,333.688137,331.0010861,6.35379938,686.6285166,3971,979,
3/23/14,333.6013404,331.4312389,7.249601367,686.6285166,3971,835,
3/24/14,333.9530158,331.8463239,6.803667844,686.8792576,3972,841,
3/25/14,333.8548114,332.257058,7.210681133,686.8792576,3972,805,
3/26/14,334.4126523,332.7081805,6.791167931,686.8792576,3972,774,
3/27/14,333.9573508,333.0670671,6.566774644,686.8792576,3972,743,
3/28/14,334.2892661,333.256541,6.496359053,686.8792576,3972,751,348.423
3/29/14,335.5112197,333.5459415,7.316467356,686.8792576,3972,579,
3/30/14,336.4891307,333.8521967,6.833660369,686.8792576,3972,503,
3/31/14,336.5241855,334.1040796,6.530653895,686.8792576,3972,564,
4/1/14,336.1320894,334.3170986,6.646568733,686.8792576,3972,564,
4/2/14,336.0413605,334.5083762,7.022408617,686.8792576,3972,564,
4/3/14,336.1868831,334.710849,6.930779668,686.8792576,3972,533,
4/4/14,336.2286902,334.9386844,7.43038816,686.8792576,3972,535,352.341
4/5/14,336.7672194,335.1758235,6.763644007,686.8792576,3972,539,
4/6/14,337.5015109,335.4300484,6.63423779,686.8792576,3972,561,
4/7/14,337.1979914,335.6698252,7.262525081,686.8792576,3972,557,
4/8/14,337.6275242,335.9147924,6.94660552,686.8792576,3972,559,
4/9/14,338.161416,336.2018994,6.676320412,686.8792576,3972,562,
4/10/14,338.4292422,336.469672,7.570642205,686.8792576,3972,565,
4/11/14,338.2744036,336.7574755,7.37278456,686.8792576,3972,571,362.354
4/12/14,337.925002,336.9998579,7.5660476,686.8792576,3972,574,
4/13/14,338.5251305,337.2007853,6.744748508,686.8792576,3972,566,
4/14/14,338.3181063,337.322717,7.046476489,686.8792576,3972,345,
4/15/14,335.2685,337.2390047,6.332693782,686.8792576,3972,625,
4/16/14,335.3817564,337.1889824,6.524841027,686.8792576,3972,559,
4/17/14,335.6065535,337.1599953,6.315498269,686.8792576,3972,561,
4/18/14,335.3755964,337.1059095,6.684672721,686.8792576,3972,568,365.878
4/19/14,334.4898181,336.9899847,6.949330589,686.8792576,3972,640,
4/20/14,334.7629012,336.8563635,6.171474652,686.8792576,3972,725,
4/21/14,335.5029283,336.7231247,6.054594859,686.8792576,3972,712,
4/22/14,335.8075467,336.6304284,6.510989398,686.8792576,3972,679,
4/23/14,336.8688633,336.579851,6.880039947,686.8792576,3972,707,
4/24/14,336.2647156,336.4534043,6.497257128,686.8792576,3972,746,
4/25/14,336.2835089,336.3103554,6.63463281,686.8792576,3972,759,367.576
4/26/14,336.3202468,336.1800783,6.306389573,686.8792576,3972,801,
4/27/14,336.82505,336.1067481,6.305209147,686.8792576,3972,768,
4/28/14,336.4834829,335.9706383,6.423798157,686.8792576,3972,765,
4/29/14,336.7293193,335.8647192,6.366531626,686.8792576,3972,781,
4/30/14,337.6711705,336.0248972,6.821306764,686.8792576,3972,903,
5/1/14,337.448991,336.1627128,6.253790009,686.8792576,3972,585,
5/2/14,337.6002902,336.2956286,6.174562444,686.8792576,3972,582,366.004
5/3/14,336.7756187,336.3889634,6.748757557,686.8792576,3972,589,
5/4/14,336.8571284,336.5467841,6.495188847,686.8792576,3972,592,
5/5/14,336.9198082,336.6905779,6.485972898,686.8792576,3972,522,
5/6/14,337.8508734,336.8471076,6.904108116,686.8792576,3972,448,
5/7/14,337.4212386,336.954687,6.732838705,686.8792576,3972,473,
5/8/14,338.3476743,337.0532745,6.496195234,686.8792576,3972,472,
5/9/14,338.5020767,337.2024319,7.117622329,686.8792576,3972,511,366.951
5/10/14,338.3880739,337.3427362,6.602815514,686.8792576,3972,506,
5/11/14,341.1266783,337.663165,6.988103382,686.8792576,3972,632,
